track_id,track_name,artist_id,album_id,genre_id,country_id,label_id,release_date,release_year,duration_ms,duration_min,popularity,is_hit,danceability,energy,key,loudness,mode,instrumentalness,tempo,stream_count,explicit
TRK-64F3E54DC3CF,Detail audience piece director town,15,15,7,1,4,2020-01-12,2020,311187,5.19,52,0,0.87,0.09,8,-49.71,0,0.646,195.66,4000,1
TRK-ECDF32B06BF5,Space couple best,16,16,6,3,5,2017-05-25,2017,120741,2.01,79,1,0.2,0.02,7,-39.6,1,0.312,81.67,163000,0
TRK-5D21C4C936CE,Song body court movie,17,17,1,6,5,2021-01-29,2021,254419,4.24,52,0,0.52,0.85,8,-50.67,0,0.126,69.59,1000,0
TRK-C98B94895928,Structure why unit support coach,18,18,9,2,5,2017-10-05,2017,401699,6.69,44,0,0.09,0.1,9,-26.77,1,0.526,88.6,1000,0
TRK-12C81B527A5C,Product main,19,19,10,7,2,2022-07-14,2022,247284,4.12,17,0,0.93,0.03,9,-1.21,0,0.497,135.27,1000,0
TRK-463C4C96E5E0,Church whether,20,20,8,7,2,2024-11-10,2024,283738,4.73,64,1,0.32,0.45,4,-21.97,0,0.435,153.5,25000,1
TRK-24A9E12BDE5F,Always bank price north,21,21,3,4,6,2016-04-17,2016,380048,6.33,61,1,0.25,0.35,4,-27.71,1,0.55,186.75,19000,0
TRK-D7D0391D4CE3,Act,22,22,11,9,1,2015-01-15,2015,158587,2.64,46,0,0.65,0.27,8,-16.89,0,0.593,75.66,1000,0
TRK-1BFD61E2B1A8,These hard,23,23,6,2,7,2016-08-29,2016,156818,2.61,53,0,0.93,0.96,5,-43.66,0,0.032,153.37,2000,0
TRK-E0A918E5BE66,Wrong,24,24,7,6,7,2025-12-12,2025,306161,5.1,46,0,0.07,0.73,6,-11.68,0,0.266,97.35,2000,0
TRK-CCA4EA4BC4BC,Mouth,25,25,12,3,3,2017-03-28,2017,273321,4.56,59,1,0.26,0.04,5,-39.96,0,0.155,195.36,78000,0
TRK-9F46C2149F19,Scientist necessary into,26,26,5,10,7,2024-06-17,2024,263617,4.39,63,1,0.93,0.13,2,-23.65,1,0.776,65.36,3000,0
TRK-0C007991EF54,Camera final together,27,27,5,6,3,2021-10-19,2021,150631,2.51,30,0,0.29,0.71,8,-17.91,0,0.001,110.99,1000,0
TRK-1CEC112B075D,Wind see understand door,28,28,4,8,4,2025-02-03,2025,355878,5.93,59,1,0.34,0.42,4,-25.06,0,0.322,118.86,7000,0
TRK-F2E3E04D3FC1,Environment skin,29,29,1,9,6,2021-02-22,2021,249317,4.16,65,1,0.6,0.66,7,-18.52,1,0.372,171.12,117000,0
TRK-FBDDDBE4C014,Development process huge,30,30,9,4,5,2022-02-05,2022,265735,4.43,66,1,0.14,0.94,4,-42.87,0,0.188,80.63,16000,0
TRK-B5CFF7DD2ADC,Could,31,31,6,1,4,2020-02-09,2020,391817,6.53,45,0,0.51,0.26,0,-6.8,0,0.525,168.98,1000,1
TRK-5E4BA746DDBE,Tonight couple,32,32,8,7,7,2021-04-02,2021,153626,2.56,54,0,0.48,0.8,8,-22.85,1,0.534,145.77,1000,0
TRK-532AAB393200,Perhaps professional,33,33,12,3,5,2023-05-05,2023,325966,5.43,43,0,0.65,0.76,10,-42.08,1,0.417,70.85,2000,0
TRK-70762064AABF,Quality total past,34,34,5,7,8,2025-01-05,2025,132245,2.2,70,1,0.18,0.24,11,-43.45,1,0.555,117.06,51000,0
TRK-7610169777DF,Kid put,35,35,6,8,7,2024-05-04,2024,294198,4.9,54,0,0.7,0.85,6,-29.24,1,0.612,101.81,2000,0
TRK-F9436704672A,Behavior weight dog financial,36,36,8,5,4,2025-01-25,2025,345972,5.77,36,0,0.26,0.44,5,-18.88,1,0.023,161.39,2000,0
TRK-2428F2606692,Manager during prevent,37,37,9,8,2,2021-08-21,2021,104209,1.74,87,1,0.86,0.2,5,-43.57,1,0.208,107.25,709000,0
TRK-333F7123D0E7,Let newspaper,38,38,1,1,5,2020-04-10,2020,372810,6.21,49,0,0.1,0.94,1,-12.81,0,0.179,165.59,2000,0
TRK-655375BC971C,Spring throughout,39,39,7,9,2,2017-09-04,2017,338282,5.64,44,0,0.25,0.7,2,-22.28,0,0.614,168.89,6000,0
TRK-9280F2523310,Space,40,40,4,3,6,2025-06-01,2025,391883,6.53,28,0,0.69,0.95,11,-44.29,0,0.317,74.27,1000,0
TRK-1FA67E71A3DE,Character him,41,41,6,8,4,2020-12-22,2020,284285,4.74,53,0,0.06,0.43,6,-3.12,1,0.392,159.02,1000,1
TRK-E41AA128D770,Watch affect thing offer local,42,42,5,5,5,2024-01-24,2024,343491,5.72,46,0,0.49,0.82,5,-9.01,0,0.474,99.05,1000,0
TRK-1B3738BE9203,Job ahead from,43,43,6,7,5,2022-06-29,2022,266368,4.44,59,1,0.22,0.23,5,-39.9,1,0.638,137.81,1000,0
TRK-0D24968FE94F,Base investment,44,44,12,1,7,2019-07-23,2019,381072,6.35,54,0,0.76,0.69,7,-30.8,0,0.517,73.03,7000,0
TRK-0E2A24CC2D2C,Edge bank affect much,45,45,11,1,3,2021-07-10,2021,338124,5.64,31,0,0.99,0.55,7,-40.37,1,0.281,92.28,1000,0
TRK-FEE71C5D10E5,List boy way,46,46,8,3,5,2017-01-28,2017,203447,3.39,36,0,0.74,0.29,8,-22.77,0,0.472,176.57,1000,0
TRK-35F58C7359F4,Official up,47,47,2,4,2,2015-02-27,2015,370040,6.17,54,0,0.1,0.3,10,-8.1,1,0.755,74.36,9000,0
TRK-F3795A3C86CE,Sure outside,48,48,7,4,4,2018-10-27,2018,116936,1.95,42,0,0.29,0.86,1,-33.36,0,0.091,140.78,1000,0
TRK-4094170DE6A0,State black whether,49,49,8,10,7,2015-12-15,2015,152102,2.54,43,0,0.61,0.62,6,-30.67,1,0.621,101.63,10000,1
TRK-D594DE0B73F5,Let stay or focus,50,50,9,6,4,2015-09-04,2015,142026,2.37,36,0,0.94,0.22,10,-50.62,0,0.169,84.33,1000,0
TRK-B3415D62AB91,Consider deep something,51,51,9,10,5,2022-09-24,2022,336369,5.61,38,0,0.71,0.7,10,-42.4,1,0.363,170.3,1000,1
TRK-8300C1EF9619,Major serve real position,52,52,10,5,2,2017-07-09,2017,168113,2.8,56,0,0.9,0.82,2,-12.2,1,0.057,121.48,5000,0
TRK-B7104EC1E194,International second former reflect,53,53,12,3,1,2021-01-20,2021,319511,5.33,42,0,0.46,0.33,1,-42.64,0,0.2,199.94,1000,1
TRK-6A82BB5280FF,Course school everybody,54,54,12,2,3,2022-04-22,2022,235834,3.93,52,0,0.22,0.59,7,-2.67,1,0.508,108.71,7000,0
TRK-41E25154244A,Section,55,55,2,8,1,2019-08-14,2019,349768,5.83,45,0,0.81,0.55,5,-41.37,0,0.364,195.83,7000,0
TRK-27CAF686EB62,Painting,56,56,8,5,8,2015-08-11,2015,361811,6.03,63,1,0.39,0.75,0,-44.01,0,0.5,189.87,1000,0
TRK-C8060F9C43DF,Man officer rather charge,57,57,8,9,8,2021-10-29,2021,173035,2.88,39,0,0.43,0.24,1,-30.08,0,0.673,150.68,1000,0
TRK-7A074CA72544,Difficult mission late kind team,58,58,6,3,7,2018-01-24,2018,342968,5.72,41,0,0.97,0.26,6,-44.71,0,0.441,180.96,1000,0
TRK-0C0DC0B50BA2,Church community,59,59,1,7,7,2024-03-14,2024,238289,3.97,41,0,0.6,0.66,7,-25.92,1,0.692,106.54,2000,0
TRK-26D571DA78F2,Right,60,60,2,8,7,2025-12-31,2025,215202,3.59,30,0,0.59,0.25,0,-37.82,1,0.62,158.73,5000,0
TRK-5F5164A07FCB,The,61,61,5,9,6,2016-06-01,2016,399424,6.66,37,0,0.84,0.12,0,-15.99,1,0.728,181.93,1000,1
TRK-A641768A10A0,Wall matter management,62,62,2,5,1,2021-12-27,2021,298395,4.97,52,0,0.66,0.85,8,-34.48,1,0.682,147.75,4000,0
TRK-AE1BC204970D,Week yourself public especially American,63,63,4,4,3,2022-09-04,2022,209268,3.49,39,0,0.14,0.63,7,-46.02,1,0.698,186.48,1000,0
TRK-09A75875F508,Girl four prove,64,64,6,8,5,2019-03-16,2019,166320,2.77,29,0,0.28,0.42,2,-45.82,0,0.545,145.33,1000,0
TRK-E78EB7894A39,Because education,65,65,12,10,2,2017-08-09,2017,223157,3.72,54,0,0.89,0.47,8,-46.47,1,0.23,192.33,137000,0
TRK-4A38E5DA2008,Gun series personal,66,66,4,3,1,2024-06-24,2024,194447,3.24,74,1,0.99,0.85,6,-24.12,1,0.085,198.98,194000,1
TRK-5FBB992A0472,Participant dream,67,67,10,1,2,2021-05-07,2021,115713,1.93,58,1,0.83,0.9,3,-22.22,1,0.621,90.66,2000,1
TRK-96DBD2067E74,Marriage respond meeting,68,68,1,8,4,2022-04-01,2022,251969,4.2,35,0,0.79,0.05,2,-50.13,1,0.292,105.74,2000,0
TRK-40C04EA25697,Second carry attorney significant take,69,69,11,5,6,2024-10-29,2024,368319,6.14,41,0,0.2,0.91,4,-14.69,1,0.755,172.59,5000,0
TRK-9284B9443BBD,Tend land machine forward,70,70,10,3,7,2023-02-14,2023,298358,4.97,93,1,0.96,0.8,6,-54.25,0,0.293,123.67,10108000,0
TRK-5E7F6232FCBE,Analysis seat relate specific,71,71,12,6,4,2017-08-15,2017,103120,1.72,26,0,0.36,0.61,10,-10.51,1,0.518,150.89,2000,1
TRK-5EECC1DFA2D3,Thank them key,72,72,3,9,7,2020-07-10,2020,140956,2.35,51,0,0.27,0.54,5,-18.79,1,0.311,142.23,132000,0
TRK-F7B4045F4091,Realize power system system teacher,73,73,4,3,5,2019-07-30,2019,107152,1.79,62,1,0.47,0.25,10,-35.16,1,0.29,68.48,82000,0
TRK-5A9F263ED469,Skin,74,74,8,7,5,2022-06-07,2022,403076,6.72,33,0,0.96,0.07,2,-12.5,0,0.267,69.61,1000,0
TRK-EE36BDEA527F,Someone fall,75,75,7,2,5,2018-09-07,2018,402466,6.71,66,1,0.19,0.15,2,-49.06,0,0.201,78.45,3000,0
TRK-DCBE13FC5748,Modern,76,76,4,6,8,2016-12-14,2016,117472,1.96,49,0,0.17,0.43,1,-29.28,1,0.091,131.85,5000,0
TRK-5B74AEC39FDE,Quality citizen kid,77,77,2,5,6,2015-06-27,2015,363390,6.06,55,0,0.08,0.99,6,-17.95,1,0.678,159.74,31000,0
TRK-F37239B48318,Down occur,78,78,3,10,7,2016-08-30,2016,156160,2.6,53,0,0.31,0.63,5,-34.43,1,0.439,123.52,1000,0
TRK-18328F0ABB8A,Seat strategy total simply discover,79,79,5,3,3,2022-04-20,2022,202734,3.38,21,0,0.44,0.82,11,-49.87,1,0.319,103.75,1000,0
TRK-C03B2DDBEB7E,Production,80,80,3,8,3,2016-01-09,2016,138879,2.31,92,1,0.46,0.74,2,-24.96,1,0.298,153.8,1714000,0
TRK-4423CD67F2CD,Compare car much,81,81,4,3,5,2021-09-25,2021,274363,4.57,67,1,0.2,0.49,5,-9.35,1,0.678,76.08,23000,0
TRK-C1F687B096DC,Second full boy,82,82,10,3,3,2021-11-18,2021,381891,6.36,47,0,0.07,0.92,4,-53.44,1,0.664,158.38,1000,1
TRK-13097AAEAF5B,Buy happy,83,83,7,9,3,2024-10-02,2024,386915,6.45,41,0,0.75,0.96,8,-43.38,1,0.073,123.51,2000,0
TRK-46510E07C861,Determine as statement travel few,84,84,3,5,7,2021-09-08,2021,117582,1.96,36,0,0.2,0.75,1,-40.31,1,0.04,127.99,1000,0
TRK-F0E0FAF9E98A,Law provide sea watch,85,85,11,3,5,2016-04-11,2016,315398,5.26,63,1,0.61,0.53,3,-33.66,0,0.247,61.08,8000,1
TRK-02101FF9E600,Describe know door,86,86,3,4,7,2018-09-05,2018,94052,1.57,64,1,0.52,0.44,8,-17.0,1,0.103,70.09,14000,0
TRK-FF26574C7876,Recognize,87,87,11,2,6,2024-09-01,2024,391863,6.53,34,0,0.65,0.3,5,-45.72,1,0.324,176.48,2000,0
TRK-479B7C46C6B8,Authority,88,88,9,6,5,2019-11-20,2019,299951,5.0,60,1,0.54,0.4,5,-43.04,0,0.248,70.69,17000,0
TRK-B8F87E8ECC6F,Teach certain candidate,89,89,10,10,8,2025-09-29,2025,167432,2.79,40,0,0.24,0.6,10,-50.93,1,0.608,124.95,1000,1
TRK-607F2DABEA08,Administration enter camera,90,90,10,6,2,2024-09-09,2024,255747,4.26,59,1,0.19,0.09,4,-12.0,0,0.354,109.27,11000,0
TRK-137A3332905C,Short,91,91,11,10,5,2015-08-22,2015,240511,4.01,64,1,0.85,0.62,7,-23.66,0,0.406,122.96,3000,0
TRK-2B9B64C44918,Available ball part,92,92,7,5,8,2020-08-15,2020,122439,2.04,55,0,0.47,0.81,11,-50.45,0,0.67,65.48,3000,0
TRK-27740C2EB9F0,Between reduce table prepare,93,93,11,7,7,2016-10-12,2016,285481,4.76,59,1,0.78,0.68,10,-20.05,0,0.042,106.16,7000,0
TRK-05AD4B9070D8,Interview professor hear check,94,94,10,8,4,2024-07-20,2024,405988,6.77,46,0,0.87,0.34,2,-5.5,1,0.466,195.48,7000,1
TRK-F281A7D187D1,Art what no,95,95,6,4,3,2021-04-08,2021,262216,4.37,57,1,0.83,0.74,8,-49.95,1,0.548,131.19,8000,0
TRK-FE69776DBCB9,Medical choice,96,96,12,10,4,2018-10-31,2018,190666,3.18,37,0,0.26,0.15,1,-27.58,0,0.062,152.67,7000,0
TRK-711B9436B9F2,Window stand,97,97,7,5,5,2016-10-26,2016,417543,6.96,74,1,0.46,0.42,3,-2.64,1,0.541,165.33,279000,0
TRK-704149D6E9B2,Go consider century,98,98,12,8,4,2025-10-30,2025,191720,3.2,45,0,0.4,0.94,7,-13.45,1,0.788,130.41,7000,0
TRK-B7D555264D03,Church find,99,99,4,7,4,2024-10-15,2024,117357,1.96,59,1,0.57,0.12,1,-39.61,0,0.677,98.19,291000,1
TRK-1A8D1165E149,Level,100,100,12,4,3,2024-02-28,2024,273283,4.55,51,0,0.92,0.42,5,-42.27,0,0.317,112.49,111000,0
TRK-46C368C9BFB5,Resource,101,101,1,1,4,2016-07-17,2016,240407,4.01,49,0,0.83,0.76,9,-54.72,0,0.375,62.66,1000,0
TRK-55214ECBF23D,War should share,102,102,3,5,1,2019-09-30,2019,241048,4.02,47,0,0.27,0.14,10,-12.13,1,0.191,68.79,9000,0
TRK-487DACB01015,Author technology,103,103,7,7,1,2023-01-22,2023,242710,4.05,49,0,0.28,0.42,1,-26.73,1,0.531,69.48,41000,1
TRK-CFD774400EE7,Garden,104,104,6,2,4,2022-02-16,2022,285717,4.76,45,0,0.29,0.04,5,-41.98,0,0.631,168.01,1000,0
TRK-5568FE5B4B82,That second develop single,105,105,10,1,1,2018-10-18,2018,181797,3.03,47,0,0.97,0.48,2,-51.59,1,0.146,65.18,1000,0
TRK-994A29527ACA,Door chair,106,106,4,4,3,2025-06-20,2025,360209,6.0,30,0,0.42,0.81,0,-14.32,0,0.379,100.06,2000,0
TRK-A453EE951C5B,Service large under,107,107,6,6,7,2019-11-25,2019,320548,5.34,70,1,0.97,0.5,8,-40.6,0,0.398,161.79,49000,0
TRK-50F808FF580B,Argue medical financial later arm,108,108,11,2,8,2018-04-18,2018,143790,2.4,49,0,0.13,0.66,9,-16.25,0,0.245,156.57,16000,1
TRK-756A2B6078D3,Last special,109,109,4,6,5,2019-11-17,2019,120072,2.0,56,0,0.39,0.8,0,-47.29,1,0.544,64.87,2000,1
TRK-C980DBA1F255,Mean common,110,110,9,7,3,2025-08-25,2025,106979,1.78,46,0,0.62,0.68,5,-31.03,0,0.759,140.35,1000,1
TRK-ECE05EBC5C06,Appear piece free form newspaper,111,111,8,3,8,2018-02-15,2018,149479,2.49,81,1,0.54,0.91,4,-16.98,0,0.094,199.49,409000,0
TRK-D67B53B6C645,Can remember,112,112,3,6,2,2024-07-25,2024,327000,5.45,47,0,0.21,0.71,10,-2.75,1,0.798,153.5,3000,0
TRK-299DBA8CF271,Behavior provide meet adult final,113,113,2,7,4,2022-12-16,2022,181273,3.02,43,0,0.16,0.21,7,-53.58,1,0.111,125.44,1000,0
TRK-CF64585DF89A,Strong this also,114,114,2,5,8,2019-06-19,2019,340958,5.68,36,0,0.54,0.77,1,-48.23,1,0.659,149.93,4000,1
TRK-4E98693CEF08,Analysis hair,115,115,5,2,5,2024-11-05,2024,398169,6.64,54,0,0.46,0.9,1,-27.02,1,0.044,83.05,2000,0
TRK-4E8CEB0CAEA9,Happy water,116,116,3,9,4,2024-06-26,2024,221389,3.69,63,1,0.23,0.95,10,-38.65,0,0.22,130.36,1000,0
TRK-EB4FCA472246,Political them,117,117,9,10,7,2025-02-11,2025,267009,4.45,47,0,0.83,0.05,10,-13.36,1,0.036,151.16,1000,0
TRK-E43B647A07AA,Challenge join watch develop later,118,118,4,8,8,2021-02-12,2021,248384,4.14,29,0,0.5,0.8,4,-30.51,0,0.548,82.13,1000,1
TRK-FBCF353D638C,Stuff practice,119,119,7,5,6,2021-10-20,2021,253883,4.23,49,0,0.98,0.36,5,-27.19,0,0.319,104.68,2000,1
TRK-5F6DE12BC964,After,120,120,3,10,3,2016-07-31,2016,116531,1.94,49,0,0.32,0.39,3,-3.01,0,0.492,173.89,16000,0
TRK-C82BE0434E84,Police performance artist,121,121,12,3,8,2020-10-09,2020,351493,5.86,65,1,0.13,0.4,3,-43.38,1,0.366,66.81,20000,0
TRK-1E3268395D2C,Number cost,122,122,1,7,5,2021-01-07,2021,146359,2.44,59,1,0.46,0.88,6,-35.24,1,0.582,67.16,114000,0
TRK-57F5502F95A0,Prove,123,123,6,2,3,2015-10-29,2015,354375,5.91,27,0,0.83,0.62,2,-2.35,1,0.489,112.25,1000,0
TRK-22EBE0A4CD93,Card good full poor,124,124,6,7,4,2020-09-16,2020,352184,5.87,43,0,0.09,0.06,7,-26.96,0,0.571,144.88,1000,0
TRK-4BD4A388F7A7,Cut social,125,125,6,2,3,2016-10-27,2016,413223,6.89,55,0,0.37,0.82,11,-24.6,1,0.426,174.2,15000,1
TRK-BF7DF6372C51,Television answer pretty event,126,126,2,9,7,2018-06-14,2018,419913,7.0,35,0,0.08,0.48,9,-23.81,0,0.774,141.69,2000,1
TRK-9966852DDF03,Entire bar,127,26,2,4,4,2021-06-03,2021,147616,2.46,43,0,0.44,0.42,8,-13.15,1,0.163,182.19,1000,0
TRK-A8FA95225961,Fill owner international,128,127,10,3,8,2018-08-24,2018,340804,5.68,90,1,0.54,0.32,8,-36.51,1,0.139,154.62,1102000,1
TRK-B57C776D693F,Guy song quickly,129,128,4,3,2,2021-04-04,2021,207895,3.46,66,1,0.77,0.7,7,-37.88,1,0.552,138.47,1000,1
TRK-18ABF06C2F10,Allow check last he know,130,129,6,5,2,2021-02-02,2021,296848,4.95,37,0,0.82,0.95,4,-52.73,0,0.644,108.49,4000,0
TRK-DCEB5F5F76A8,Trial brother,131,130,5,4,6,2024-04-14,2024,232151,3.87,60,1,0.18,0.62,3,-52.26,0,0.469,149.31,3000,0
TRK-BD4D51081BFA,Young specific whose worry,132,131,3,1,2,2020-04-18,2020,162072,2.7,60,1,0.05,0.55,6,-19.74,1,0.743,126.84,102000,0
TRK-49D2773E3817,Soldier meeting building,133,132,3,4,7,2015-08-31,2015,391011,6.52,48,0,0.85,0.06,6,-7.36,0,0.737,190.75,3000,0
TRK-DD2E095ECEEA,Candidate this assume huge response,134,133,4,9,8,2025-10-15,2025,109643,1.83,56,0,0.06,0.57,5,-39.63,1,0.086,184.5,1000,0
TRK-F027D1AD7AD9,Campaign stop,135,134,7,8,7,2018-09-16,2018,330603,5.51,39,0,0.06,0.35,10,-14.11,0,0.236,145.53,5000,1
TRK-A98774ECBB6A,Check clearly,136,135,10,3,3,2019-06-30,2019,140009,2.33,35,0,0.22,0.16,3,-54.63,1,0.259,92.97,4000,1
TRK-97992D5B0A9F,Person pass behavior,137,35,1,3,3,2021-06-04,2021,227129,3.79,44,0,0.11,0.13,6,-17.95,1,0.245,156.64,10000,1
TRK-70B6F82CA726,American tell,138,136,7,10,6,2020-05-12,2020,328539,5.48,42,0,0.75,0.61,8,-5.71,0,0.333,166.66,13000,0
TRK-F9E8C1BE6BA9,Marriage phone,139,137,11,5,6,2022-11-22,2022,130948,2.18,44,0,0.83,0.9,8,-46.91,1,0.162,179.63,1000,0
TRK-D6592637EDD3,Future century,140,138,5,3,1,2016-01-08,2016,323561,5.39,37,0,0.81,0.46,7,-24.55,1,0.411,154.19,1000,0
TRK-2AFFA09AA301,Business last,141,139,8,8,4,2023-05-13,2023,393201,6.55,70,1,0.71,0.54,1,-1.75,1,0.048,64.44,38000,0
TRK-3CE8C8DCDA31,Couple city you,142,140,6,2,6,2024-12-29,2024,325162,5.42,44,0,0.87,0.9,10,-2.94,0,0.301,151.49,1000,1
TRK-2A0726803D7D,Good anything manager think,143,141,7,2,4,2020-12-06,2020,206753,3.45,100,1,0.97,0.47,6,-26.28,0,0.575,94.65,20000000,0
TRK-9125A2C2FAAC,Hand hundred now crime,144,142,3,4,8,2023-08-02,2023,106891,1.78,25,0,0.81,0.43,0,-42.0,0,0.613,74.13,1000,0
TRK-F781964E3557,Health would,145,143,1,2,5,2023-04-22,2023,300902,5.02,28,0,0.76,0.77,4,-42.36,1,0.112,140.85,1000,0
TRK-D2BB7A5D20D1,Mind chance throw cause,146,144,8,4,3,2020-11-05,2020,306824,5.11,48,0,0.33,0.08,11,-5.77,1,0.759,137.82,2000,0
TRK-A487023A1F37,Feel staff happy,147,145,6,4,7,2022-10-23,2022,304045,5.07,53,0,0.76,0.48,4,-8.69,0,0.679,172.81,4000,1
TRK-7B60BC9E8218,Dinner anything lose modern return,148,146,6,1,1,2016-07-03,2016,217327,3.62,51,0,0.29,0.34,7,-9.25,0,0.063,134.99,2000,0
TRK-1330B6F514F4,Finish charge real improve,149,147,9,4,5,2021-10-13,2021,110734,1.85,58,1,0.77,0.72,7,-43.72,1,0.447,102.45,11000,0
TRK-8EAD617804AF,Moment finish community treatment,150,148,12,7,3,2023-06-17,2023,217188,3.62,35,0,0.7,0.7,3,-25.19,1,0.317,113.29,1000,0
TRK-DE2F0A3F5753,Side relate,151,149,12,1,4,2020-10-01,2020,334320,5.57,66,1,0.49,0.83,5,-38.1,0,0.731,138.75,2000,1
TRK-BF3618EF1123,Time house generation significant,152,150,9,2,2,2025-06-25,2025,393637,6.56,60,1,0.73,0.31,3,-34.49,0,0.157,129.9,2000,0
TRK-A07A511B0DC1,Dark Mrs,153,151,2,6,1,2016-11-20,2016,274641,4.58,51,0,0.51,0.91,10,-3.31,0,0.434,177.47,2000,1
TRK-F2BA9011C24E,Area,154,152,10,4,1,2024-06-13,2024,211337,3.52,88,1,0.11,0.17,7,-34.85,1,0.175,152.3,392000,1
TRK-40111DDAF10B,Local current white,155,153,1,6,4,2015-02-18,2015,367567,6.13,44,0,0.32,0.51,6,-11.47,0,0.558,74.98,3000,0
TRK-08F715843374,Tree company,156,154,4,1,2,2020-11-26,2020,275829,4.6,73,1,0.3,0.4,6,-30.21,0,0.298,198.63,2508000,0
TRK-31657E3801A2,Act,157,155,6,6,1,2019-07-19,2019,287745,4.8,48,0,0.06,0.19,6,-20.18,1,0.4,139.22,7000,0
TRK-131096079FBE,Life cover both class,158,156,9,2,1,2024-12-14,2024,339299,5.65,38,0,0.3,0.92,4,-6.44,0,0.548,85.11,1000,0
TRK-A459CA5FA94B,Still middle,159,157,2,9,6,2023-06-09,2023,298821,4.98,47,0,0.58,0.57,10,-6.59,1,0.68,113.74,1000,0
TRK-6926FD35ACE2,Likely,160,158,6,3,8,2016-02-05,2016,211710,3.53,42,0,0.84,0.35,9,-33.58,1,0.615,64.15,3000,0
TRK-8F8C9F2F78FA,Civil rather,161,159,6,8,4,2021-03-15,2021,316412,5.27,45,0,0.41,0.77,3,-16.49,0,0.236,97.52,1000,0
TRK-C62651B3375C,Whatever long,162,160,3,7,7,2016-03-12,2016,92723,1.55,52,0,0.94,0.45,1,-47.84,0,0.609,120.34,1000,0
TRK-D6BEF534FB23,Their bank,163,161,5,9,7,2018-12-20,2018,138792,2.31,25,0,0.86,0.03,1,-15.86,0,0.331,140.07,1000,0
TRK-394E7E51E8E2,Foreign minute,164,162,4,1,8,2018-05-18,2018,348538,5.81,33,0,0.19,0.18,4,-28.85,0,0.221,110.56,2000,0
TRK-C1BE592AFFAB,Indeed nor,165,163,3,10,4,2020-02-19,2020,161035,2.68,31,0,0.36,0.62,5,-31.23,1,0.643,174.17,1000,0
TRK-8DFD68C18782,And general,166,164,2,1,3,2025-08-16,2025,195304,3.26,62,1,0.5,0.19,5,-39.26,1,0.319,195.49,1000,1
TRK-84842AF4C521,She within,167,165,3,3,6,2019-02-04,2019,385620,6.43,50,0,0.22,0.76,11,-30.07,0,0.022,121.38,1000,1
TRK-ED7AB684898F,Card team,168,166,4,7,7,2022-02-07,2022,216888,3.61,88,1,0.29,0.17,6,-51.01,1,0.339,141.51,15000,0
TRK-DB9A4D11C34C,Leg rest,169,167,5,2,7,2022-11-13,2022,401332,6.69,41,0,0.77,0.66,10,-21.92,1,0.284,195.35,2000,0
TRK-893DE5F76794,Past view,170,168,8,10,4,2017-11-25,2017,357741,5.96,40,0,0.75,0.56,3,-30.93,1,0.55,124.83,2000,0
